ul_bitrate,longitude,rsrq,dl_bitrate,rsrp,sinr,cqi,timestamp,latitude,operator_name
16,3.87843,-13,3282,-84,2.2,<nil>,2023-11-29T14:47:00.065Z,7.38713,MTN-Stay_Safe
1,2.99331,-11,1,-109,5.0,11,2023-11-29T14:47:00.133Z,6.49409,MTN-Stay_Safe
59,3.87843,-13,1229,-84,2.2,<nil>,2023-11-29T14:47:01.061Z,7.38713,MTN-Stay_Safe
0,2.99331,-11,0,-109,5.0,11,2023-11-29T14:47:01.078Z,6.49409,MTN-Stay_Safe
0,2.99318,-11,0,-109,5.0,11,2023-11-29T14:47:01.504Z,6.49404,MTN-Stay_Safe
0,2.99318,-11,0,-109,5.0,11,2023-11-29T14:47:01.583Z,6.49404,MTN-Stay_Safe
0,2.99318,-11,0,-109,5.0,11,2023-11-29T14:47:01.585Z,6.49404,MTN-Stay_Safe
6,3.87843,-12,1205,-84,2.2,<nil>,2023-11-29T14:47:02.064Z,7.38713,MTN-Stay_Safe
9,3.87843,-12,1671,-84,2.2,<nil>,2023-11-29T14:47:03.047Z,7.38713,MTN-Stay_Safe
0,2.99318,-11,0,-109,5.0,11,2023-11-29T14:47:03.135Z,6.49404,MTN-Stay_Safe
